x,y
0,0.95
1,0.9025
2,0.8573749999999999
3,0.8145062499999999
4,0.7737809374999999
5,0.7350918906249998
6,0.6983372960937497
7,0.6634204312890623
8,0.6302494097246091
9,0.5987369392383786
10,0.5688000922764596
11,0.5403600876626365
12,0.5133420832795047
13,0.48767497911552943
14,0.46329123015975293
15,0.44012666865176525
16,0.41812033521917696
17,0.3972143184582181
18,0.37735360253530714
19,0.35848592240854177
20,0.34056162628811465
21,0.3235335449737089
22,0.30735686772502346
23,0.2919890243387723
24,0.27738957312183365
25,0.263520094465742
26,0.25034408974245487
27,0.2378268852553321
28,0.2259355409925655
29,0.2146387639429372
30,0.20390682574579033
31,0.1937114844585008
32,0.18402591023557577
33,0.17482461472379698
34,0.16608338398760714
35,0.15777921478822676
36,0.14989025404881542
37,0.14239574134637464
38,0.1352759542790559
39,0.1285121565651031
40,0.12208654873684793
41,0.11598222130000553
42,0.11018311023500525
43,0.10467395472325498
44,0.09944025698709223
45,0.09446824413773762
46,0.08974483193085074
47,0.0852575903343082
48,0.08099471081759278
49,0.07694497527671314
50,0.07309772651287748
51,0.0694428401872336
52,0.0659706981778719
53,0.0626721632689783
54,0.059538555105529384
55,0.05656162735025291
56,0.053733545982740265
57,0.05104686868360325
58,0.04849452524942309
59,0.04606979898695193
60,0.04376630903760433
61,0.041577993585724116
62,0.03949909390643791
63,0.03752413921111601
64,0.03564793225056021
65,0.0338655356380322
66,0.032172258856130585
67,0.030563645913324056
68,0.029035463617657853
69,0.027583690436774957
70,0.02620450591493621
71,0.0248942806191894
72,0.023649566588229927
73,0.022467088258818428
74,0.021343733845877507
75,0.02027654715358363
76,0.019262719795904448
77,0.018299583806109226
78,0.017384604615803764
79,0.016515374385013576
80,0.015689605665762895
81,0.01490512538247475
82,0.014159869113351011
83,0.01345187565768346
84,0.012779281874799287
85,0.012140317781059323
86,0.011533301892006355
87,0.010956636797406038
88,0.010408804957535735
89,0.01
90,0.01
91,0.01
92,0.01
93,0.01
94,0.01
95,0.01
96,0.01
97,0.01
98,0.01
99,0.01
100,0.01
101,0.01
102,0.01
103,0.01
104,0.01
105,0.01
106,0.01
107,0.01
108,0.01
109,0.01
110,0.01
111,0.01
112,0.01
113,0.01
114,0.01
115,0.01
116,0.01
117,0.01
118,0.01
119,0.01
120,0.01
121,0.01
122,0.01
123,0.01
124,0.01
125,0.01
126,0.01
127,0.01
128,0.01
129,0.01
130,0.01
131,0.01
132,0.01
133,0.01
134,0.01
135,0.01
136,0.01
137,0.01
138,0.01
139,0.01
140,0.01
141,0.01
142,0.01
143,0.01
144,0.01
145,0.01
146,0.01
147,0.01
148,0.01
149,0.01
150,0.01
151,0.01
152,0.01
153,0.01
154,0.01
155,0.01
156,0.01
157,0.01
158,0.01
159,0.01
160,0.01
161,0.01
162,0.01
163,0.01
164,0.01
165,0.01
166,0.01
167,0.01
168,0.01
169,0.01
170,0.01
171,0.01
172,0.01
173,0.01
174,0.01
175,0.01
176,0.01
177,0.01
178,0.01
179,0.01
180,0.01
181,0.01
182,0.01
183,0.01
184,0.01
185,0.01
186,0.01
187,0.01
188,0.01
189,0.01
190,0.01
191,0.01
192,0.01
193,0.01
194,0.01
195,0.01
196,0.01
197,0.01
198,0.01
199,0.01
200,0.01
201,0.01
202,0.01
203,0.01
204,0.01
205,0.01
206,0.01
207,0.01
208,0.01
209,0.01
210,0.01
211,0.01
212,0.01
213,0.01
214,0.01
215,0.01
216,0.01
217,0.01
218,0.01
219,0.01
220,0.01
221,0.01
222,0.01
223,0.01
224,0.01
225,0.01
226,0.01
227,0.01
228,0.01
229,0.01
230,0.01
231,0.01
232,0.01
233,0.01
234,0.01
235,0.01
236,0.01
237,0.01
238,0.01
239,0.01
240,0.01
241,0.01
242,0.01
243,0.01
244,0.01
245,0.01
246,0.01
247,0.01
248,0.01
249,0.01
250,0.01
251,0.01
252,0.01
253,0.01
254,0.01
255,0.01
256,0.01
257,0.01
258,0.01
259,0.01
260,0.01
261,0.01
262,0.01
263,0.01
264,0.01
265,0.01
266,0.01
267,0.01
268,0.01
269,0.01
270,0.01
271,0.01
272,0.01
273,0.01
274,0.01
275,0.01
276,0.01
277,0.01
278,0.01
279,0.01
280,0.01
281,0.01
282,0.01
283,0.01
284,0.01
285,0.01
286,0.01
287,0.01
288,0.01
289,0.01
290,0.01
291,0.01
292,0.01
293,0.01
294,0.01
295,0.01
296,0.01
297,0.01
298,0.01
299,0.01
300,0.01
301,0.01
302,0.01
303,0.01
304,0.01
305,0.01
306,0.01
307,0.01
308,0.01
309,0.01
310,0.01
311,0.01
312,0.01
313,0.01
314,0.01
315,0.01
316,0.01
317,0.01
318,0.01
319,0.01
320,0.01
321,0.01
322,0.01
323,0.01
324,0.01
325,0.01
326,0.01
327,0.01
328,0.01
329,0.01
330,0.01
331,0.01
332,0.01
333,0.01
334,0.01
335,0.01
336,0.01
337,0.01
338,0.01
339,0.01
340,0.01
341,0.01
342,0.01
343,0.01
344,0.01
345,0.01
346,0.01
347,0.01
348,0.01
349,0.01
350,0.01
351,0.01
352,0.01
353,0.01
354,0.01
355,0.01
356,0.01
357,0.01
358,0.01
359,0.01
360,0.01
361,0.01
362,0.01
363,0.01
364,0.01
365,0.01
366,0.01
367,0.01
368,0.01
369,0.01
370,0.01
371,0.01
372,0.01
373,0.01
374,0.01
375,0.01
376,0.01
377,0.01
378,0.01
379,0.01
380,0.01
381,0.01
382,0.01
383,0.01
384,0.01
385,0.01
386,0.01
387,0.01
388,0.01
389,0.01
390,0.01
391,0.01
392,0.01
393,0.01
394,0.01
395,0.01
396,0.01
397,0.01
398,0.01
399,0.01
400,0.01
401,0.01
402,0.01
403,0.01
404,0.01
405,0.01
406,0.01
407,0.01
408,0.01
409,0.01
410,0.01
411,0.01
412,0.01
413,0.01
414,0.01
415,0.01
416,0.01
417,0.01
418,0.01
419,0.01
420,0.01
421,0.01
422,0.01
423,0.01
424,0.01
425,0.01
426,0.01
427,0.01
428,0.01
429,0.01
430,0.01
431,0.01
432,0.01
433,0.01
434,0.01
435,0.01
436,0.01
437,0.01
438,0.01
439,0.01
440,0.01
441,0.01
442,0.01
443,0.01
444,0.01
445,0.01
446,0.01
447,0.01
448,0.01
449,0.01
450,0.01
451,0.01
452,0.01
453,0.01
454,0.01
455,0.01
456,0.01
457,0.01
458,0.01
459,0.01
460,0.01
461,0.01
462,0.01
463,0.01
464,0.01
465,0.01
466,0.01
467,0.01
468,0.01
469,0.01
470,0.01
471,0.01
472,0.01
473,0.01
474,0.01
475,0.01
476,0.01
477,0.01
478,0.01
479,0.01
480,0.01
481,0.01
482,0.01
483,0.01
484,0.01
485,0.01
486,0.01
487,0.01
488,0.01
489,0.01
490,0.01
491,0.01
492,0.01
493,0.01
494,0.01
495,0.01
496,0.01
497,0.01
498,0.01
499,0.01
500,0.01
501,0.01
502,0.01
503,0.01
504,0.01
505,0.01
506,0.01
507,0.01
508,0.01
509,0.01
510,0.01
511,0.01
512,0.01
513,0.01
514,0.01
515,0.01
516,0.01
517,0.01
518,0.01
